feature,inferred_type,train_non_null_ratio,test_non_null_ratio,train_numeric_parse_ratio,test_numeric_parse_ratio,train_unique_ratio_non_null,id_like_flag,spearman_with_log_correction,drift_metric_name,drift_metric_value
esg_firma_aenderung__zeitpunkt,numeric,1.0,1.0,1.0,1.0,0.9546673165976115,1,0.004780288052291626,psi_numeric,0.0
esg_firma_kapitel-handelsregister__amtsgericht__bezeichnung,categorical,0.8019741652449427,0.7955781080101486,0.0,0.0,0.01975383680291749,0,,tv_categorical,0.05905835217947562
esg_firma_kapitel-handelsregister__amtsgericht__ort,categorical,0.8019741652449427,0.7955781080101486,0.0,0.0,0.019601884212125817,0,,tv_categorical,0.05893649012731868
esg_firma_steuerungs-daten__crefonummer-mutter-konzern,categorical,0.13989763587618814,0.16274012323305545,0.1347794296855959,0.15694092062341428,0.4076655052264808,0,,tv_categorical,0.05516570103099972
esg_firma_hauptbranche_abteilung_name_english,categorical,1.0,1.0,0.0,0.0,0.009748964172556666,0,,tv_categorical,0.05494450307623281
esg_firma_hauptbranche_abteilung_name_german,categorical,1.0,1.0,0.0,0.0,0.009627102120399708,0,,tv_categorical,0.054093036707818266
mitarbeiter_konzern_anzahl-mitarbeiter-gesamt__wert_intercept,categorical,0.09602729709968316,0.12105835447625951,0.09602729709968316,0.12105835447625951,0.36928934010152287,0,,tv_categorical,0.05272441853161837
mitarbeiter_konzern_avg_mitarbeiter,categorical,0.09602729709968316,0.12105835447625951,0.09602729709968316,0.12105835447625951,0.3680203045685279,0,,tv_categorical,0.052724418531618356
esg_firma_kapitel-standorte__juristischer-sitz__datum-von__:tag,categorical,0.625639775773824,0.6129032258064516,0.625639775773824,0.6129032258064516,0.006038176860148033,0,,tv_categorical,0.05258358592802919
mitarbeiter_konzern_anzahl-mitarbeiter-gesamt__wert_steigung,categorical,0.09602729709968316,0.12105835447625951,0.09602729709968316,0.12105835447625951,0.36548223350253806,0,,tv_categorical,0.052480694427304436
umsatz_konzern_avg_mitarbeiter,categorical,0.09992688276870583,0.11888365349764407,0.09992688276870583,0.11888365349764407,0.37073170731707317,0,,tv_categorical,0.04950761812293214
umsatz_konzern_umsatz-gesamt__wert_intercept,categorical,0.09992688276870583,0.11888365349764407,0.09992688276870583,0.11888365349764407,0.37073170731707317,0,,tv_categorical,0.049507618122932126
umsatz_konzern_umsatz-gesamt__wert_steigung,categorical,0.09992688276870583,0.11888365349764407,0.09992688276870583,0.11888365349764407,0.3670731707317073,0,,tv_categorical,0.04920609898590803
esg_firma_kapitel-handelsregister__register-aufnahme,categorical,0.7891786497684621,0.7883291047480971,0.7891786497684621,0.7883291047480971,0.02794935145151328,0,,tv_categorical,0.049120565871010685
esg_firma_kapitel-standorte__juristischer-sitz__datum-von__:jahr,categorical,0.6359980502071655,0.6248640811888365,0.6359980502071655,0.6248640811888365,0.015136999425177237,0,,tv_categorical,0.04462578191136058
branche_2,categorical,0.6586643919083598,0.6411743385284523,0.6586643919083598,0.6411743385284523,0.15578168362627198,0,,tv_categorical,0.04457202833489264
esg_firma_kapitel-rechtsform-und-gruendung__aktuelle-rechtsform__kurzname-rechtsform,categorical,1.0,1.0,0.0,0.0,0.0042651718254935415,0,,tv_categorical,0.043932550701283164
esg_firma_kapitel-wirtschaftliche-entwicklung__auftragslage,categorical,0.6206434316353887,0.5955056179775281,0.0,0.0,0.0025525230708816024,0,,tv_categorical,0.041589279036891386
esg_firma_kapitel-geschaefts-gegenstand__eingetragener-gegenstand,categorical,0.9943943456007799,0.9956505980427691,0.1573239093346332,0.16382747372236317,0.8242647058823529,0,,tv_categorical,0.0411978982307432
esg_firma_kapitel-rechtsform-und-gruendung__aktuelle-rechtsform__bezeichnung,categorical,1.0,1.0,0.0,0.0,0.004143309773336583,0,,tv_categorical,0.0409408792813045
esg_firma_kapitel-rechtsform-und-gruendung__aktuelle-rechtsform__datum-gruendung__:jahr,categorical,0.25347306848647333,0.25045306270387824,0.25347306848647333,0.25045306270387824,0.03942307692307692,0,,tv_categorical,0.04077266194689357
esg_firma_kapitel-import-export__export-quote__wert,categorical,0.23726541554959785,0.2326930047118521,0.23726541554959785,0.2326930047118521,0.048279404211607604,0,,tv_categorical,0.04045680999510873
esg_firma_governance__beteiligungsdauer__wert,categorical,0.7795515476480624,0.7683943457774556,0.7795515476480624,0.7683943457774556,0.032827888072534,0,,tv_categorical,0.04008797742296785
esg_firma_environmental__abfall__gesamt-anteil-recycelt,categorical,0.4544235924932976,0.4671982602392171,0.4544235924932976,0.4671982602392171,0.09734513274336283,0,,tv_categorical,0.039592048781569404
