bin,baseline_lo,baseline_hi,train_rows,test_rows,train_frac,test_frac,test_minus_train_frac
0,7.0,63.0,693,245,0.08868697210135654,0.0939057110003833,0.005218738899026756
1,63.0,147.0,798,254,0.10212439211671359,0.09735530854733615,-0.004769083569377441
2,147.0,315.0,836,275,0.10698745840798567,0.10540436949022614,-0.0015830889177595314
3,315.0,645.4000000000019,799,239,0.10225236754543128,0.09160597930241472,-0.010646388243016558
4,645.4000000000019,1300.0,729,247,0.09329408753519325,0.09467228823303948,0.0013782006978462352
5,1300.0,2400.0,806,265,0.10314819554645507,0.10157148332694518,-0.0015767122195098904
6,2400.0,4400.0,780,252,0.09982083439979524,0.09658873131467996,-0.003232103085115276
7,4400.0,10075.400000000023,810,249,0.10366009726132583,0.09543886546569567,-0.008221231795630154
8,10075.400000000023,55039.59999999999,781,304,0.09994880982851292,0.1165197393637409,0.01657092953522797
9,55039.59999999999,135161000.0,782,279,0.10007678525723061,0.10693752395553852,0.006860738698307903
