bin,rows,baseline_mae,generated_mae,mae_gain,baseline_rmse,generated_rmse,rmse_gain
0,287,3784176.3994076657,3784155.0567539027,21.342653763014823,38205660.25055027,38205454.654879555,205.5956707149744
1,274,218.68547445255476,180.33891159229208,38.34656286026268,1400.718524054682,1307.602213292849,93.11631076183289
2,272,533371.191360294,533282.2362663348,88.95509395923,8791906.263933556,8791753.403767884,152.86016567237675
3,271,800.170073800738,655.0345579283852,145.1355158723528,4467.651574961389,3911.253903401818,556.3976715595709
4,285,1575.104912280702,1130.5765637283098,444.5283485523921,8715.744297512061,7434.776872561947,1280.967424950114
5,267,1461.2076404494383,701.5966533712684,759.6109870781698,1752.6881516554959,1328.9803404888492,423.7078111666467
6,276,11493.81902173913,8114.171896543652,3379.647125195477,53345.36361313879,48052.2324746472,5293.13113849159
7,277,65209.039133574006,54455.658456987214,10753.380676586792,333886.3929707519,313064.8381547117,20821.55481604021
8,274,1437193.01,1407321.2904173988,29871.719582601218,21386015.07183373,21343466.01927403,42549.05255969986
9,276,26565381.750289854,27408826.27731451,-843444.5270246565,89451030.85973333,90841698.1012111,-1390667.2414777726
