feature,drift_kind,drift_value
esg_firma_kapitel-handelsregister__amtsgericht__bezeichnung,tv_categorical,0.05905835217947563
esg_firma_kapitel-handelsregister__amtsgericht__ort,tv_categorical,0.05893649012731867
esg_firma_steuerungs-daten__crefonummer-mutter-konzern,tv_categorical,0.05516570103099973
esg_firma_hauptbranche_abteilung_name_english,tv_categorical,0.05494450307623281
esg_firma_hauptbranche_abteilung_name_german,tv_categorical,0.05409303670781826
mitarbeiter_konzern_anzahl-mitarbeiter-gesamt__wert_intercept,tv_categorical,0.05272441853161839
mitarbeiter_konzern_avg_mitarbeiter,tv_categorical,0.05272441853161837
esg_firma_kapitel-standorte__juristischer-sitz__datum-von__:tag,tv_categorical,0.0525835859280292
mitarbeiter_konzern_anzahl-mitarbeiter-gesamt__wert_steigung,tv_categorical,0.052480694427304464
umsatz_konzern_umsatz-gesamt__wert_intercept,tv_categorical,0.04950761812293214
umsatz_konzern_avg_mitarbeiter,tv_categorical,0.04950761812293212
umsatz_konzern_umsatz-gesamt__wert_steigung,tv_categorical,0.04920609898590806
esg_firma_kapitel-handelsregister__register-aufnahme,tv_categorical,0.04912056587101068
esg_firma_kapitel-standorte__juristischer-sitz__datum-von__:jahr,tv_categorical,0.044625781911360574
branche_2,tv_categorical,0.04457202833489264
esg_firma_kapitel-rechtsform-und-gruendung__aktuelle-rechtsform__kurzname-rechtsform,tv_categorical,0.043932550701283164
esg_firma_kapitel-wirtschaftliche-entwicklung__auftragslage,tv_categorical,0.04158927903689139
esg_firma_kapitel-geschaefts-gegenstand__eingetragener-gegenstand,tv_categorical,0.0411978982307432
esg_firma_kapitel-rechtsform-und-gruendung__aktuelle-rechtsform__bezeichnung,tv_categorical,0.04094087928130451
esg_firma_kapitel-rechtsform-und-gruendung__aktuelle-rechtsform__datum-gruendung__:jahr,tv_categorical,0.040772661946893586
esg_firma_kapitel-import-export__export-quote__wert,tv_categorical,0.04045680999510873
esg_firma_governance__beteiligungsdauer__wert,tv_categorical,0.04008797742296785
esg_firma_esg-bewertung__input__abfallrecyclingquote-prozent,tv_categorical,0.039592048781569404
esg_firma_environmental__abfall__gesamt-anteil-recycelt,tv_categorical,0.039592048781569404
esg_firma_social__anteil-frauen__kontrollebene,tv_categorical,0.03810951895893497
